chn,num
Living Foodz HD,417
Maa Movies HD,898
HBO HD,246
Time Now HD,368
ETV HD,880
Comedy Central HD,176
Star Gold Select HD,208
SONY SAB HD,127
ZEE MARATHI HD,517
ZEE TALKIES HD,528
ZEE BANGLA HD,704
STAR SUVARNA HD,960
TLC HD WORLD,409
Animal Planet HD WORLD,427
Sony BBC Earth HD,439
Nat Geo HD,339
STAR MAA HD,882
Le Plex HD,264
MNX HD,262
Star Sports Select HD 1,300
Star Sports Select HD 2,301
Star Vijay HD,894
Movies now HD,201
Romedy Now HD,254
Sony ESPN HD,297
Star Jalsha HD,708
Jalsha Movies HD,773
Star Pravah HD,521
Colors Bangla HD,706
Colors Marathi HD,519
Colors Kannada HD,956
Gemini TV HD,878
Star Bharat HD,114
Sony PIX HD,248
& Pictures HD,212
Zee café HD,169
Nick HD,456
FX HD,172
Colors Infinity HD,174
Sony MAX HD,202
Fox Life HD,425
Mazhavil Manorama HD,831
AXN HD,162
Asianet HD,827
Star World Premiere HD,164
COLORS HD,117
STAR PLUS HD,106
STAR WORLD HD,166
Zee TV HD,109
Sony HD,112
DISCOVERY World HD,421
NGC – HD,423
Zee Cinema HD,204
Movies Now+,252
STAR GOLD HD,206
STAR MOVIES HD,244
Zee Studio HD,256
SONY ROX HD,500
Sony Six HD,292
Star Sports 1 HD,278
Star Sports 2 HD,280
SONY TEN HD 1,286
SONY TEN HD 2,288
SONY TEN HD 3,290
History TV 18 HD,433
Sun Tv HD,755
Star Sports 1 Hindi HD,282
Sun Music HD,810
&tv HD,120
Star Movies Select HD,251
Star Sports Select 1 HD,300
Star Sports Select 2 HD,301
& TV,119
Big Magic,124
Bindass,134
Colors,116
DD Kisan,152
Epic,138
Discovery Jeet,135
Rishtey,129
Sony,111
Sony Pal,132
Sony Sab,126
Star Bharat,114
Star Plus,105
Star Utsav,131
Zee Anmol,140
Zee TV,108
MUBU TV,145
EZMall,141
& Pictures,211
B4U Movies,226
Cinema TV,220
Enterr 10,143
Movies OK,207
Rishtey Ciniplex,219
Sony MAX,201
Sony MAX 2,209
Sony Wah,224
Star Gold,205
Star Utsav Movies,225
UTV Action,217
UTV Movies,213
WOW Cinema,221
Zee Action,216
Zee Cinema,203
Zee Bollywood,215
NT 1,218
Surya Cinema,230
Star Sports Select 2,284
TRUE SPORTS,302
Star Sports 1 Tamil,803
Star Sports 1,277
Star Sports 2,279
Star Sports 1 Hindi,281
Star Sports Select 1,283
STAR SPORTS FIRST,303
Neo Prime,295
NEO SPORTS,293
SONY TEN 2,287
SONY TEN 3,289
SONY TEN 1,285
SONY SIX,291
Sony ESPN,296
ZEE NEWS,311
AAJ TAK,313
News X,374
BBC WORLD NEWS,391
CNN,393
CNN News 18,371
India Today,372
News18 India,319
News18 LOKMAT,537
INDIA TV,315
NDTV 24×7,369
NDTV India,317
News 24,323
ABP News,328
TIMES NOW,367
India News,322
News X,374
Al Jazeera,395
BLOOMBERG TV,383
WION,378
CNBC AWAAZ,329
CNBC TV18,379
NDTV PROFIT,382
BTVi,384
ZEE BUSINESS,331
ET NOW,381
GOODNEWS TV,695
SHUBHSANDESH TV,694
SARTHI,693
ISHWAR TV,692
Gyana Yogi Telugu,945
POWERVISION,873
Nambikkai TV,817
Astha,681
ARADANA TV,944
Divyavani TV,943
Shubh TV,691
SARV DHARAM SANGAM,690
MADHA TV,816
ZINGAAT,546
ZING,501
MTV Beats,482
9XO,509
9X M,484
B4U MUSIC,486
E-24,490
Mastii,488
MH1,566
MTV,480
Sony Mix,491
VH1,507
ZOOM,496
9X Jalwa,492
Ok India,440
GREEN TV,441
Sony BBC Earth,438
Sony BBC Earth HD,439
Animal Planet HD WORLD,427
FYI TV 18,428
Nat Geo Wild,434
ANIMAL PLANET,426
DISCOVERY,420
DISCOVERY Science,430
Discovery Tamil,798
DISCOVERY Turbo,431
Fox Life,424
HISTORY TV,432
NGC,422
TOPPER,469
NAT GEO people,436
MAHA CARTOON TV,472
SONY YAY!,471
Disney Junior,463
Baby TV,464
CARTOON NETWORK,449
CHUTTI TV,801
Discovery Kids,461
DISNEY,458
HUNGAMA,453
NICK,455
Pogo,451
Sonic,460
Disney XD,457
Nick Junior,447
Zee Q,466
Toonami,467
Shop CJ,123
TLC HD WORLD,409
NAAPTOL Tamil,773
NAAPTOL Telugu,890
Naaptol Bangla,713
Fashion TV,416
TRAVELXP,414
Living Foodz,417
TLC,408
FOOD FOOD,412
Homeshop 18,122
NDTV GOOD TIMES,410
B4U Movies,226
MANORANJAN TV,662
MANORANJAN MOVIES,560
MAHA MOVIE,228
Star Utsav Movies,225
Sony Wah,224
Sony Max 2,209
ETV Cinema,899
MULTIPLEX,223
Romedy Now,253
Rishtey Cineplex,219
Oscar Movies,660
UTV Action,217
WOW Cinema,221
&pictures,211
Zee Action,216
Sony MAX,201
SONY PIX,247
STAR GOLD,205
STAR MOVIES,243
UTV MOVIES,213
WB,257
ZEE CINEMA,203
ZEE Classic,215
ZEE STUDIO,255
Airtel Movies 2,159
Movie Mania,191
Miniplex,192
Miniplex HD,193
Sadabahar Hitz,194
Punjabi Tadka,555
Realm Chel,577
Sony Max Superhitz,198
Thanga Thirai,745
Zee Marathi,516
Zee Marathi (HD),517
Colors Marathi,518
Colors Marathi (HD),519
STAR Pravah,520
STAR Pravah (HD),521
Zee Yuva,522
Naaptol Marathi,524
Zee Talkies,527
Zee Talkies (HD),528
Maiboli,529
Fakt Marathi,530
ABP Majha,534
Saam TV,535
IBN Lokmat,537
Zee 24 Taas,538
TV9 Marathi,539
9X Jhakaas,544
Sangeeth Marathi,545
DD Sahyadri,548
Mh One,566
Zee Punjab Haryana Himachal,562
Ptc Punjabi,555
Ptc News,563
Chardikla Time,557
Ptc Chakde,568
9X Tashan,569
Dd Punjabi,572
Colors Gujarati,578
Etv News Gujarati,582
Tv9 Gujarati,583
Cnbc Bajar,584
Vtv News,585
Sandesh News,586
Dd Girnar,589
Colors Oriya,593
Tarang Tv,594
Prarthna Tv,595
Sarthak Tv,596
Alankar Tv,601
Etv News Odia,603
Kanak News,604
Kalinga Tv,605
Mbc Tv,606
Otv,607
Zee Kalinga,608
Prameya News 7,610
Tarang Music,614
Dd Odia,617
I Badat Active,621
Zee Salaam,622
Etv Urdu,625
Dd Urdu,626
Dd Kashir,627
Munsif Tv,628
Mecca Medina 24*7,786
Rengoni,632
Rang,633
Jonack Tv,634
Ramdhenu,635
Prag News,638
Protidin Time,639
Assam Talks,640
News Live,641
Nepal 1,642
Dy365,643
News18 Assam,644
North East,644
Dd North East,647
Hamara Sanima,651
Dangal,652
Big Ganga,653
Mahuaa TV,654
Dabangg,655
Anjan TV,658
Zee Purvayiya,659
Oscar Movies,660
Bhojpuri cinema,661
jharkhand,664
ETV Bihar,664
Sangeeth bhojpuri,667
DD Bihar,669
Zee Bangla,703
Zee Bangla (HD),704
Colors Bangla,705
Colors Bangla (HD),706
Star Jalsha,707
Star Jalsha (HD),708
Ruposhi Bangla Tv,709
Sony Aath,711
Akash Aath,712
Naaptol Bangla,713
Ctvn Akd Plus,714
Zee Bangla Cinema,717
Jalsha Movies,719
Jalsha Movies (HD),720
24Ghanta,723
Abp Ananda,724
Etv News Bangla,725
Kolkata Tv,726
News Time,727
Cn News,728
Music Fatafati,734
Dhoom Music,735
Sangeet Bangla,736
Dd Bangla,739
Captain Tv,747
Raj Digital Plus,748
Mega Tv,750
Zee Tamil,751
Puthu Yugam,753
Sun Tv,754
Sun Tv HD,755
Ktv,756
Star Vijay,758
Vijay HD,759
Kalaignar Tv,760
Jaya Tv,762
Raj Tv,764
Polimer Tv,766
Sirippoli,767
Makkal Tv,768
Adithya Tv,769
Vendhar Tv,770
Vasanth Tv,771
Vijay Super,772
Naaptol Tamil,773
Mk Tv,774
Mk Six,775
Tamilan Tv,776
Vanavil Tv,777
Colors Tamil,778
J Movie,778
News 7 Tamil,783
Puthiya Thalaimurai,784
Seithigal 24X7,785
Polimer News,786
Thanthi Tv,787
Sun News,789
Jaya Plus,790
Malai Murasu Tv,791
Sathiyam Tv,792
News18 Tamilnadu,793
Win Tv,795
Discovery Tamil,798
Chutti Tv,801
Star Sports Tamil,803
Isaiaruvi,805
Sun Life,806
Sun Music,809
Sun Music HD,810
Jaya Max,811
Mk Tunes,812
Aaseervatham,814
Angel Tv,815
Madha Tv,816
Nambikai Tv,817
Dd Podhigai,820
7S Music,821
Asianet,826
Asianet HD,827
Surya Tv,828
Mazhavil Manorama,830
Mazhavil Manorama HD,831
Flowers Tv,832
Kairali Tv,834
Jai Hind Tv,849
Asianet Movies,843
Naptol Malayalam,842
Asianet Plus,835
Amrita,836
Surya Movies,845
Dd Malayalam,871
Harvest Tv,872
Powervision India,873
Surya Music,863
Kairali We,837
Kochu Tv,861
Media One,850
Manorama News,851
Asianet News,852
News18 Kerala,855
Kappa Tv,864
Mathrubhumi News,853
Shalom Tv,869
Safari Tv,868
Goodness Tv,870
People Tv,854
Janam Tv,838
Kayumudi Tv,839
Naaptol Malayalam,842
Asianet Movies,843
Surya Movies,845
Jai Hind Tv,849
Media One,850
Manorama S,851
Asianet S,852
Mathrubhumi S,853
People Tv,854
S 18 Kerala,855
Raj S Malayalam,856
Kochu Tv,861
Surya Music,863
Kappa Tv,864
Raj Musix Malyalam,865
Safari Tv,868
Shalom Tv,869
Goodness Tv,870
Dd Malayalam,871
Harvest Tv,872
Powervision,873
Gemini Tv,877
Gemini Tv HD,878
Eenadu Tv,879
Etv HD,880
Star Maa Tv,881
Star Maa HD,882
Zee Telugu,882
Gemini Comedy,885
Maa Gold,887
Etv Plus,889
Cvr Health,892
Gemini Movies,895
Etv Cinema,899
Maa Movies,897
Zee Cinemalu,900
Etv Andhra Pradesh,904
Tv9 Telugu,905
Ntv,906
Sakshi Tv,907
Abn Andhra Jyoti,909
Tv5 Telugu,910
V6 News,912
T News,914
Etv Telangana,916
10Tv Telugu News,918
Gemini News,919
Raj News Telugu,920
Studio N News,921
Cvr News,922
Cvr English,923
Kushi Tv,926
Gemini Music,930
Maa Music,932
Gemini Life,933
Raj Music Telugu,935
Etv Life,938
Etv Abhiruchi,939
Svbc,940
Subhavaartha,941
Bhakti Tv,942
Diviyavani Tv,943
Aradhana Tv,944
Dd Yadagiri,946
Dd Saptagiri,947
Cvr Om Spiritual,948
Shiv Shakti Sai,950
Udaya Tv,953
Colors Kannada,955
Colors Kannada HD,956
Zee Kannada,957
Star Suvarna,959
Kasthuri Tv,961
Chintu Tv,988
Udaya Comedy,962
Kalki Kannada,964
Colors Super,965
Naaptol Kannada,966
Udaya Movies,970
Suvarna Plus,972
Tv 9 Kannada,976
Udaya News,977
Etv News Kannada,978
Suvarna News 24X7,979
Btv News Kannada,980
Public Tv,981
Parjaa Tv Kannada,982
Raj News Kannada,983
Jansari News,984
Udaya Music,990
Raj Musix Kannada,991
Dd Chandana,995
Sri Sankara Kannada Feed,688
