broadcaster,sno,channelName,lang
INFORMATION TV PRIVATE LIMITED,186,India News,HINDI/ ENGLISH AND NORTH INDIAN REGIONAL LANGUAGES
INFORMATION TV PRIVATE LIMITED,187,India News Haryana,HINDI
INFORMATION TV PRIVATE LIMITED,188,India News Madhya Pradesh Chattisgarh,HINDI/ OTHER NORTH INDIAN REGIONAL LANGUAGES
INFORMATION TV PRIVATE LIMITED,189,India News Punjab,HINDI/ ENGLISH/ ALL OTHER NORTH INDIAN LANGUAGES
INFORMATION TV PRIVATE LIMITED,190,India News Rajasthan,HINDI/ OTHER NORTH INDIAN REGIONAL LANGUAGES
INFORMATION TV PRIVATE LIMITED,191,India News Uttar Pradesh-Uttarakhand,ENGLISH/ HINDI
INFORMATION TV PRIVATE LIMITED,192,NewsX Kannada,HINDI/ ENGLISH AND OTHER NORTH INDIAN LANGUAGES
J.S.D. DATA INFOTECH PRIVATE LIMITED,193,EXPRESS TV,ALL INDIAN LANGUAGE
JAIN STUDIOS LIMITED,194,JAIN TV,HINDI/ ENGLISH
JAINSON MEDIA PRIVATE LIMITED,195,PBN (earlier SAMACHAR 24X7),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
Janam Multi Media Ltd.,196,Janam,English and all other schedule language
JANAPRIYA COMMUNICATION LTD.,197,TWENTY FOUR (Earlier JANAPRIYA),MALAYALAM /ENGLISH & ALL OTHER SPECIFIED LANGUAGE
JANVANI BROADCASTING CORPORATION LIMITED (Earlier PEARLS BROADCASTING CORPORATION PRIVATE LIMITED),198,P7 GUJARATI,GUJRATI/ENGLISH/ALL OTHER INDIAN SCHEDULE LANGUAGES
JANVANI BROADCASTING CORPORATION LIMITED (Earlier PEARLS BROADCASTING CORPORATION PRIVATE LIMITED),199,SNEHA TV (EARLIER P7 NEWS BEFORE THAT PBC TV),"PUNJABI, ENGLISH/ OTHER INDIAN LANGUAGES"
JEEVAN TELECASTING CORPORATION LIMITED,200,JEEVAN TV,MALAYALAM
JOSH MEDIA VISION PVT LTD,201,MBC TV (VON JANTA KI AWAAZ),HINDI/ ENGLISH/ BENGALI
JSK MULTI PRODUCTS PVT. LTD. (earlier KANSAN NEWS PRIVATE LIMITED),202,DAY N NIGHT NEWS,PUNJABI/ HINDI/ ENGLISH
K.K. MEDIA PRODUCTION PVT.LTD.,203,TOP(EARLIER: OM BANGLA ),"BENGALI,HINDI,ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
KALAIGNAR TV PRIVATE LIMITED,204,KALAIGNAR CHITHIRAM,TAMIL
KALAIGNAR TV PRIVATE LIMITED,205,KALAIGNAR ISAI ARUVI,TAMIL
KALAIGNAR TV PRIVATE LIMITED,206,KALAIGNAR MURASU,TAMIL
KALAIGNAR TV PRIVATE LIMITED,207,KALAIGNAR SEITHIGAL,TAMIL
KALAIGNAR TV PRIVATE LIMITED,208,KALAIGNAR SIRIPPOLI,TAMIL
KALAIGNAR TV PRIVATE LIMITED,209,KALAIGNAR TV,TAMIL
Kalinga Media & Entertainment Pvt. Ltd.,210,Kalinga TV,"Hindi, English, Oriya and all other schedule Indian language"
KAMADHENU TELEFILMS PRIVATE LIMITED,211,"Ayush TV (earlier AYURVEDA TV, SREE TV)","HINDI, TELUGU, KANNADA, TAMIL, MALYALAM, ENGLISH"
KAMADHENU TELEFILMS PRIVATE LIMITED,212,SRI SANKARA,HINDI/ TELUGU/ KANNADA/ TAMIL/ MALAYALAM/ ENGLISH
KAMYAB TELEVISION PRIVATE LIMITED,213,ODISHA TIME (earlier KAMYAB TV),ORIYA
KASHISH DEVELOPERS LTD.,214,KASHISH NEWS,"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES."
KASTHURI MEDIAS PRIVATE LIMITED,215,Kasthuri,KANNADA
KASTHURI MEDIAS PRIVATE LIMITED,216,Kasthuri News 24,KANNADA
KCB Builders & Developers Pvt Ltd,217,Sarthi,"English Hindi, Punjabi & All India Languages"
KDM MEDIA PRIVATE LIMITED,218,I PLUS TV (Earlier SHAKTI TV),HINDI/ PUNJABI/ ENGLISH
kerala communications cable ltd.,219,Kerala Vision,"Malayalam, english, punjabi, fall scheduled indian Lanuguage"
KERELA KAUMUDI PVT LTD,220,KAUMUDY,MALAYALAM
KHUSBOO MULTIMEDIA PVT. LTD.,221,KHUSBOO BANGLA,"HINDI, ORIYA, ENGLISH, BENGALI"
KRISHNA SHOWBIZ SERVICES PVT. LTD.,222,DILLAGIII,HINDI
KRISHNA SHOWBIZ SERVICES PVT. LTD.,223,MAUJA MOSTII,HINDI
KRISHNA SHOWBIZ SERVICES PVT. LTD.,224,TAK DHINA DIN,HINDI
Lakshmi Gold Khazaanaa Pvt. Ltd.,225,TV1 News 24*7,"Kannada, English, Hindi, Punjabi and All Indian Language"
LAMHAS SATELLITE SERVICES LIMITED,226,RUSSIA TODAY,ENGLISH
Landmark Apartment Pvt. Ltd.,227,Hindi Khabar (Earlier I-Witness),Hindi Language
Landmark Infonet Pvt. Ltd.,228,Ok India (earlier known as L-TV),Hindi Language
LIVE NEWS INDIA NETWORK PVT LTD,229,Lotus News (Earlier known as NATION NEWS),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
Live Today TV & Web Private Limited (earlier Pavitar Entertainment Pvt Ltd),230,AM News-Spandan Maharashtrache,"Marathi, English, Hindi and all Indian Scheduled Languages"
M.H. ONE TV NETWORK LIMITED,231,MH 1,HINDI
M.H. ONE TV NETWORK LIMITED,232,MH ONE NEWS,HINDI
M.H. ONE TV NETWORK LIMITED,233,MH ONE SHRADDHA,HINDI
MADHA MEDIA RENAISSANCE PVT. LTD. (Earlier Krishnaswamy Associates Media Renaissance Pvt. Ltd. (Earlier known as KRISHNASWAMY ASSOCIATES MEDIA RENAISSANCE),234,Madha TV (earlier KRISHANA TV),TAMIL & ENGLISH
MADHYAMAM BROADCASTING LTD,235,MEDIA ONE TV,MALAYALAM/ ENGLISH
MADURAI KRISHNA NETWORK PVT. LTD.,236,MK Six,All Indian Languages
MADURAI KRISHNA NETWORK PVT. LTD.,237,MK TELEVISION,TAMIL
MADURAI KRISHNA NETWORK PVT. LTD.,238,MK Tunes,All Indian Languages
MAKKAL THOLAI THODARPU KUZHUMAM LIMITED,239,MAKKAL TV,TAMIL & ENGLISH
MALAYALAM COMMUNICATIONS LIMITED,240,KAIRALI,MALAYALAM
MALAYALAM COMMUNICATIONS LIMITED,241,Kairali News,MALAYALAM
MALAYALAM COMMUNICATIONS LIMITED,242,WE,MALAYALAM
Mass Telecasting pvt. Ltd.,243,MUBU TV (EARLIER MT),"English, hindi, punjabi, & all indian reginal language"
MAYAJAAL ENTERTAINMENT LIMITED,244,VAANAVIL TV (Earlier SPLASH TV),ENGLISH/ ALL INDIAN LANGUAGES
MCN INTERNATIONAL INDIA PVT LTD.,245,CHANNEL NEWS ASIA INTERNATIONAL,ENGLISH
MEDIA GURU BROADCAST PVT LTD,246,ANANDAM (EARLIER :MY TV(MDP TV) ),HINDI AND ALL OTHER INDIAN SCHEDULE LANGUAGES
MEDIA GURU BROADCAST PVT LTD,247,EDU TV,"ENGLISH, HINDI AND ALL OTHER INDIAN SCHEDULE LANGUAGES."
MEDIA GURU NEWS PVT. LTD.,248,News 11 Bharart,"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
MEDIA NETWORK BROADCASTING PVT LTD,249,HOLIDAYZ,"HINDI, ENGLISH & ALL OTHER INDIAN LANGUAGES"
MEDIA NETWORK BROADCASTING PVT LTD,250,MTUNES+,"HINDI, ENGLISH & ALL OTHER INDIAN LANGUAGES"
MEDIA NETWORK BROADCASTING PVT LTD,251,WOW,"HINDI, ENGLISH & ALL OTHER INDIAN LANGUAGES"
MEDIA WORLDWIDE LIMITED,252,SANGEET BHOJPURI,MULTILINGUAL
MEDIA WORLDWIDE LIMITED,253,SANGEET MARATHI,HINDI/ENGLISH/ MARATHI
MEDIA WORLDWIDE LIMITED,254,BANGLA TALKIES,"BENGALI, HINID, ENGLISH AND MULTILINGUAL"
MEDIA WORLDWIDE LIMITED,255,MUSIC INDIA,HINDI
MEDIA WORLDWIDE LIMITED,256,SANGEET BANGLA,BENGALI
MEDIA WORLDWIDE LIMITED,257,Hi-Dost!,"BENGALI, HINID, ENGLISH AND MULTILINGUAL"
Meenakshi Networks Pvt. Ltd.,258,Meenakshi TV,Tamil Langauge
METRONATION CHENNAI TELEVISION PVT LTD (Earlier METRONATION CHENNAI TELEVISION LTD),259,THANTHI TV (earlier NDTV HINDU CHENNAI),ENGLISH
METRONATION CHENNAI TELEVISION PVT LTD (Earlier METRONATION CHENNAI TELEVISION LTD),260,Malar TV,"Tamil, English & all scheduled Indian languages"
MGK PRINTING WORKS PVT LTD,261,"AAHO MUSIC (earlier known as Vaa Movies Hindi, NAAPTOL HD before that ALL TIME)","ENGLISH, HINDI, PUNJABI & ALL INDIA REGIONAL LANGUAGES"
MGK PRINTING WORKS PVT LTD,262,MGK NAAPTOL TAMIL (Earlier MGK),"HINDI, ENGLISH, PUNJABI AND ALL OTHER INDIAN LANGUAGES"
MGK PRINTING WORKS PVT LTD,263,NAAPTOL BANGLA (Earlier MGK STAR),"English, Hindi, Punjabi and all Indian language"
MGK PRINTING WORKS PVT LTD,264,NAAPTOL BLUE (Earlier Blue),"English, Hindi, Punjabi & all indian Languages"
MGM PROGRAMMING SERVICES INDIA PVT. LTD.,265,THE MGM,ENGLISH
Mi Marathi Media Ltd. (Earlier:SRI ADHIKARI BROTHERS MEDIA LIMITED ),266,MI MARATHI,MARATHI
MITCON INFRASPROJECT PRIVATE LIMITED,267,Power TV,ENGLISH/HINDI AND ALL OTHER REGIONAL LANGUAGES
MITCON INFRASPROJECT PRIVATE LIMITED,268,KHUSHI,ENGLISH/HINDI AND ALL OTHER REGIONAL LANGUAGES
MM TV LIMITED,269,MANORAMA NEWS CENTRAL,MALAYALAM
MM TV LIMITED,270,MANORAMA NEWS NORTH,MALAYALAM
MM TV LIMITED,271,MAZHAVIL MANORAMA (MANORAMA VISION),MALAYALAM
MM TV LIMITED,272,MAZHAVIL MANORAMA HD (Earlier MANORAMA NEWS SOUTH),MALAYALAM
MM TV LIMITED,273,MAZHAVIL MANORAMA INTERNATIONAL (earlier MANORAMA NEWS INTERNATIONAL),MALAYALAM
MONICA BROADCASTING PRIVATE LIMITED,274,MAHAA NEWS (MAHAA TV),"TELUGU, HINDI & OTHER REGIONAL LANGUAGES"
MONICA BROADCASTING PRIVATE LIMITED,275,MANTAVYA NEWS (Earlier XTRA ),TELUGU
MOON VISION PRIVATE LIMITED,276,MOON TV,TAMIL AND ENGLISH
Movements Digital India Pvt. Ltd.,277,TUNES 6 MUSIC,"HINDI, TAMIL, ENGLISH,MALAYALAM, KANNADA, TELUGU AND ALL INDIAN LANGUAGES"
MPCR BROADCASTING SERVICE PRIVATE LIMITED,278,Maiboli (earlier DHAMAKAA /APNA TV),HINDI
MUKUNDHAA NETWORK PRIVATE LIMITED,279,THENDREL TV,TAMIL
Munny Entertainments Pvt Ltd.,280,Mahavira TV Channel-Jinvani Darshan,"PUNJABII, HINDI, ENGLISH, ALL OTHER INDAIN LANGUAGES"
Munny Entertainments Pvt Ltd.,281,"True Sports(earlier MANGAL KALASH, Oye Music)","PUNJABII, HINDI, ENGLISH, ALL OTHER INDAIN LANGUAGES"
N K MEDIA VENTURES PVT LTD,282,NAXATRA NEWS JHARKHAND BIHAR (NAXTRA BARNALII),BENGALI
N K MEDIA VENTURES PVT LTD,283,NAXATRA TV,ORIYA
N&D COMMUNICATIONS PVT. LTD.,284,PEPPERS,"ENGLISH, TAMIL, MALAYALAM, KANNADA, TELUGU AND OTHER INDIAN SCHEDULED LANGUAGES"
NAMAN BROADCASTING AND TELECOMMUNICATIONS PVT. LTD.,285,"Live Today-Tez Najar Sahi Khabar (Earlier SADHANA NEWS, SADHANA ARYAN NEWS, 24X7 BTV NEWS , Prabhatam LIFELINE)","Hindi, English as well as few Regional Languages"
NAMAN BROADCASTING AND TELECOMMUNICATIONS PVT. LTD.,286,Sadhna Bangla (earlier ISHWAR),"Hindi, English and All Others Indian Languages"
NAMAN BROADCASTING AND TELECOMMUNICATIONS PVT. LTD.,287,VIP News (Earlier known as Prabhatam HSB),"Hindi, English as well as few Regional Languages"
NARNE NETWORKS PRIVATE LIMITED,288,STUDIO N NEWS (Earlier STUDIO N),TELUGU/ HINDI/ ENGLISH
NEESA TECHNOLOGIES PVT.LTD.,289,JANO DUNIYA,HINDI & ENGLISH
NEO SPORTS BROADCAST PRIVATE LIMITED,290,NEO PRIME (earlier NEO CRICKET ),HINDI/ ENGLISH
NEO SPORTS BROADCAST PRIVATE LIMITED,291,NEO SPORTS,HINDI/ ENGLISH/ REGIONAL LANGUAGES
NEO TELEVISION LIMITED,292,SAAM TV,"English, Hindi & All Other Regional Langauges"
NEON SOLUTION PVT. LTD,293,FTV.COM INDIA,ENGLISH
NEW ERA MEDIA CORPORATION CHENNAI PRIVATE LIMITED (earlier TRP MEDIA PRIVATE LIMITED),294,Puthu Yugam (earlier KALAI SARAL),ALL INDIAN LANGUAGES
NEW GENERATION MEDIA CORPORATION PVT LTD (EARLIER KNOWN AS M/S GENERATION NOW MEDIA PVT LTD),295,PUTHIYA THAILAIMURAI,TAMIL/ ENGLISH/ OTHER SOUTH INDIAN LANGUAGES
News 24 Broadcast India Ltd.(Earlier known as B.A.G. GLAMOUR LIMITED),296,"JK 24*7 (Earlier JK CHANNEL , AAPNO 24 (BIZ 24)",HINDI
News 24 Broadcast India Ltd.(Earlier known as B.A.G. GLAMOUR LIMITED),297,NEWS24 THINK FIRST,HINDI
News Nation Network Pvt. Ltd (Earlier known as ALPHA DEALCOM PRIVATE LIMITED),298,"NEWS NATION (Earlier NATION TODAY, TULIP NEWS)",ALL INDIAN LANGUAGES
News Nation Network Pvt. Ltd (Earlier known as ALPHA DEALCOM PRIVATE LIMITED),299,NEWS STATE UTTARAKHAND/UTTAR PRADESH (Earlier UPASANA),ALL INDIAN LANGUAGES
News Nation Network Pvt. Ltd (Earlier known as ALPHA DEALCOM PRIVATE LIMITED),300,News State Madhya Pradesh/Chhatttisgarh,HINDI
News Nation Network Pvt. Ltd (Earlier known as ALPHA DEALCOM PRIVATE LIMITED),301,News State Bihar/Jharkhand,All Indian Languages
News Nation Network Pvt. Ltd (Earlier known as ALPHA DEALCOM PRIVATE LIMITED),302,News State Maharashtra/Goa,All Indian Languages
News Nation Network Pvt. Ltd (Earlier known as ALPHA DEALCOM PRIVATE LIMITED),303,News State Rajasthan,All Indian Languages
NEWSPLUS TELEVISION PRIVATE LIMITED,304,News Plus,"Tamil, English & all other Indian scheduled languages"
Nexgen Telelinks Pvt. Ltd,305,Fateh TV,HINDI
NOIDA SOFTWARE TECHNOLOGY PARK LTD.,306,HOPE TV,"ENGLISH, TAMIL, HINDI, TELUGU, MALAYALAM AND KANNADA"
NOIDA SOFTWARE TECHNOLOGY PARK LTD.,307,NHK WORLD TV,ENGLISH/ JAPANESE
Nomad Films Ltd.,308,Green TV,"Hindi, English as well as few Regional Languages"
ODISHA TELEVISION LIMITED,309,O TV,ENGLISH / REGIONAL LANGUAGES
OMEGA BROADCAST PVT LTD,310,ANB News,"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
OMEGA BROADCAST PVT LTD,311,Sarv Dharm Sangam (Earlier known as 4 Real Entertainment),"Hindi, English and ALL Other Indian Languages"
OMEGA TV MEDIA PVT LTD,312,News India 24x7 (earlier UK NEWS),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
ONKAR ENTERTAINMENT PRIVATE LIMITED,313,ONKAR ONLY TRUTH,BENGALI/ HINDI/ ENGLISH/ ALL OTHER INDIAN SCHEDULES LANGUAGES
OPPORTUNITY MEDIA PRIVATE LIMITED,314,A TV,ENGLISH
OSCAR MEDIA PRIVATE LIMITED,315,Oscar Movies Bhojpuri (earlier MARATHI MUSIC),HINDI/ BHOJPURI/ ENGLISH/ MARATHI
Page 3 Entertainment India Pvt. Ltd.,316,Power of God TV (Earlier known as Page 3),BANGLA
PAL NEWS MEDIA PRIVATE LIMITED,317,CHANNEL NO.1,PUNJABI/ HINDI/ ENGLISH
PALM BROADCASTING PRIVATE LIMITED,318,PRARTHANA BHAWAN TV (GATHA TV),ALL INDIAN LANGUAGES
PARSHAVNATH MEDIA PVT. LTD.,319,JAI PARAS TV,ALL INDIAN LANGUAGES
Paul E Commerce Pvt. Ltd.,320,PITAARA,All Indian languages
PAUL ENTERTAINMENT PRIVATE LIMITED,321,9X TASHAN ,PANJABI
PERFECT-OCTAVE MEDIA PROJECTS LIMITED,322,IN- SYNC,HINDI AND ENGLISH
PIGEON INFORMATION TECHNOLOGY PRIVATE LIMITED,323,MOJO TV (earlier K News 24*7 (earlier NEWS & VIEWS ),ALL INDIAN LANGUAGES
PINKCITY JEWEL HOUSE PVT. LTD.,324,INDOLOGY,HINDI /ENGLISH AND OTHER REGIONAL LANGUAGES
PLANET E-SHOP HOLDINGS INDIA LIMITED,325,ARIRANG TV,ENGLISH
PLANETCAST MEDIA SERVICES LIMITED (EARLIER: ESSEL SHYAM COMMUNICATION LIMITED ),326,CGTN (Earlier CCTV NEWS),ENGLISH
POLIMER MEDIA PRIVATE LIMITED,327,News J (earlier Polimer Kannada),KANNADA
POLIMER MEDIA PRIVATE LIMITED,328,POLIMER,TAMIL
POLIMER MEDIA PRIVATE LIMITED,329,POLIMER NEWS,TAMIL
POLIMER MEDIA PRIVATE LIMITED,330,Sahana,Tamil
PRABHATAM ADVERTISING PVT LTD,331,B News (earlier PRABHATAM NEWS MAHARASHTRA),HINDI/ ENGLISH/ AND OTHER INDIAN SCHEDULE LANGUAGE
PRABHATAM ADVERTISING PVT LTD,332,JIA News (earlier PRABHATAM NEWS GUJARAT),GUJARATI/ ENGLISH/ AND OTHER INDIAN SCHEDULE LANGUAGE
PRABHATAM ADVERTISING PVT LTD,333,PRAJAA KANNADA TV (Earlier PRABHATAM NEWS RAJASTHAN),HINDI/ ENGLISH/ AND OTHER INDIAN SCHEDULE LANGUAGE
PRABHATAM ADVERTISING PVT LTD,334,The Nation Plus,PUNJABI/ ENGLISH/ AND OTHER INDIAN SCHEDULE LANGUAGE
PRABHATAM ADVERTISING PVT LTD,335,Sadhna Bhakti,HINDI/ ENGLISH/ AND OTHER INDIAN SCHEDULE LANGUAGE
PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,336,INDRADHANU,"HINDI, ENGLISH AND OTHER INDIA LANGUAGES"
PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,337,NEWS LIVE,ENGLISH/ HINDI/ NORTH EASTERN LANGUAGES
PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,338,NEWS LIVE ODISHA (NOURTH EAST LIVE),"HINDI, ENGLISH AND OTHER INDIA LANGUAGES"
PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,339,RAMDHENU,"ASSAMASEME, HINDI, ENGLISH AND BENGALI"
PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED,340,RANG,HINDI/ ENGLISH/ ASSAMI
PRIYAMDA MEDIA & INFOTAINMENT PRIVATE LIMITED,341,FRONTIER TV,HINDI
RACHANA TELEVISION PRIVATE LIMITED,342,BHAKTHI,TELUGU
RACHANA TELEVISION PRIVATE LIMITED,343,N TV,TELUGU
RACHANA TELEVISION PRIVATE LIMITED,344,VANITHA TV,TELUGU
RAFTAAR MEDIA PRIVATE LIMITED,345,RAFTAAR MEDIA,HINDI ENGLISH AND ALL INDIAN SCHEDULED LANGUAGES
RAHUL SPRINGS PVT LTD,346,R PLUS,BANGLA
RAHUL SPRINGS PVT LTD,347,R PLUS GOLD (earlier R PLUS NEWS),BANGLA
RAJ TELEVISION NETWORK LIMITED,348,RAJ MUSIX MALAYALAM,MALAYALAM
RAJ TELEVISION NETWORK LIMITED,349,RAJ MUSIX TELUGU,TELUGU
RAJ TELEVISION NETWORK LIMITED,350,RAJ NEWS KANNADA,TAMIL
RAJ TELEVISION NETWORK LIMITED,351,RAJ NEWS MALAYALAM,MALAYALAM
RAJ TELEVISION NETWORK LIMITED,352,RAJ NEWS TELUGU,TAMIL
RAJ TELEVISION NETWORK LIMITED,353,RAJ PARIWAR,TELUGU
RAJ TELEVISION NETWORK LIMITED,354,Raj Musix Kannada,KANNADA
RAJ TELEVISION NETWORK LIMITED,355,Vissa TV,Telugu
Rajasthan Patrika Pvt. Ltd.,356,Patrika TV Rajasthan,Hindi & English and All Other Languages
RKM NEWS AND ENTERTAINMENT CHANNEL PVT LTD,357,TUNES 6 (earlier RKM GOLD NEC PULSE),HINDI/ PUNJABI/ ENNGLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGES
ROCKLAND MEDIA AND COMMUNICATION PRIVATE LIMITED,358,ASSAM TALKS (Earlier PRIME NEWS (ARYAN TV),HINDI/ ENGLISH/ ALL OTHER SCHEDULED LANGUAGES
ROYALRAJ MEDIA PRIVATE LIMITED,359,MUSIC F (earlier M3M music..movie..masti / VARDAAN),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
RP TECHVISION INDIA PRIVATE LIMITED,360,KOLKATTA 24*7,BANGLA/HINDI/ENGLISH/NORTHEAST
R-VISION INDIA PVT. LTD.,361,R VISION,ALL INDIAN LANGUAGE
RVS NETWORK INDIA LIMITED,362,RVS CHANNEL,TELUGU
S.B.MULTIMEDIA PVT. LTD.,363,IBC 24 (earlier ZEE 24 GHANTE-CHATTISGARH),HINDI
S.D.BANSAL IRON AND STEEL PVT. LTD.,364,BANSAL NEWS,HINDI/ ENGLISH
SAB GLOBAL ENTERTAINMENT MEDIA PVT. LTD.,365,DHAMMAL GUJJUU,GUJARATI
SAB GLOBAL ENTERTAINMENT MEDIA PVT. LTD.,366,Seven (earlier SEVEN SISTERS RAINBOW),ALL LANGUAGES
SADHNA MEDIA NETWORK PVT. LTD.,367,SADHNA PRIME NEWS (EARLIER: POSITIVE HEALTH),"HINDI, ENGLISH AND INDIAN SCHEDULED LANGUAGE"
SADHNA MEDIA NETWORK PVT. LTD.,368,Aryan TV National (earlier SADHNA ORISSA),HINDI
SADHNA MEDIA NETWORK PVT. LTD.,369,Bhojpuri Dhamaka Dishum (earlier MAX VISION [CHITRA (EARLIER SADHNA)],HINDI
SAFARI MULTIMEDIA PVT. LTD,370,SAFARI,MULTILINGUAL
SAHANA FILMS PRIVATE LIMITED,371,JAI MAHARASHTRA,MARATHI/ ENGLISH / AND ALL OTHER INDIAN SCHEDULED LANGUAGES
SAHANA FILMS PRIVATE LIMITED,372,SAHANA NEWS,ENGLISH/ HINDI
Sahara India Commercial Corporation Ltd.,373,AALAMI SAHARA,HINDI
Sahara India Commercial Corporation Ltd.,374,SAHARA FILMY,HINDI
Sahara India Commercial Corporation Ltd.,375,SAHARA FIRANGI,HINDI
Sahara India Commercial Corporation Ltd.,376,SAHARA ONE,HINDI/ENGLISH
Sahara India Commercial Corporation Ltd.,377,SAHARA SAMAY BIHAR,HINDI
Sahara India Commercial Corporation Ltd.,378,SAHARA SAMAY MP,HINDI
Sahara India Commercial Corporation Ltd.,379,SAHARA SAMAY MUMBAI,HINDI
Sahara India Commercial Corporation Ltd.,380,SAHARA SAMAY NCR,HINDI
Sahara India Commercial Corporation Ltd.,381,SAHARA SAMAY UP,HINDI
Sahara India Commercial Corporation Ltd.,382,SAMAY,HINDI
Sai Babha Network Pvt. Ltd,383,Sai TV,"Tamil Malayalam, Telugu, Kannada, Hindi and English"
SAIRAM MEDIA NETWORK PVT. LTD.,384,SAIRAM TV,ALL INDIAN LANGUAGE
SANATAN INDIA NETWORKING PRIVATE LIMITED,385,SANATAN TV,HINDI/ ENGLISH AND ALL INDIAN SCHEDULED LANGUAGES
