broadcaster,sno,channelName,lang
SANGEET AUDIO INDIA PRIVATE LIMITED,386,Jan-Tantra TV (earlier A1 TEHELKA HIMACHAL-HARYANA (Earlier known as HINDUSTAN LIVE /NEWS 17),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
Sangeet Television Network Pvt. Ltd.,387,Bhaktisagar2 (Initially granted as Hastey Raho then changed to iConcerts),"Hindi, English and all other Indian Schedule Languages"
SANSKAR INFO TV PRIVATE LIMITED,388,Sanskar (Initially known as Sanskar then changed to Sanskar HD),HINDI
SANSKAR INFO TV PRIVATE LIMITED,389,Satsang (earlier SANSKAR SATSANG (EARLIER: SATSANG),HINDI
Satcom Media Broadcast Pvt. Ltd,390,BALLE BALLE Non Stop Music (earlier Andy Haryana),"Hindi, English and all India Languages"
SATHIYAM MEDIA VISION PRIVATE LIMITED,391,SATHIYAM,TAMIL/ ENGLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGES
SATHYA DHARA COMMUNICATION PVT LTD,392,DARSHANA,MALAYALAM
SAURABH INTERNATIONAL PRIVATE LIMITED,393,I NEWS,TELUGU/ ENGLISH/ HINDI/ AND NORTH INDIAN REGIONAL LANGUAGES
SCAN MEDIA PVT.LTD.,394,National Voice Uttarpradesh/Uttrakhand (earlier SHALINI TV /GURU DIKSHA NEWS/ VEDA TV),ALL INDIAN LANGUAGES
SEA TV NETWORK LIMITED,395,JINVANI,HINDI/ ENGLISH
SEA TV NETWORK LIMITED,396,Non-Stop Samachar India (Initially Sea News then changed to Sea News Uttar Pradesh & Uttrakhand,HINDI/ ENGLISH/ ALL OTHER INDIAN LANGUAGE
SEE MEDIA SERVICES PVT LTD,397,Swaraj Express SMBC (earlier SMBC Insight (earlier VOICE OF CENTRAL INDIA VOICE),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
SENTINEL BROADCASTING PVT LTD,398,India Voice (Earlier SENTINEL NEWS),ENGLISH/ HINDI/ ASSAMESE/ BENGALI/ KHASI/ BODO/ MANIPURI/ NAGAMIS
SEVEN STAR SATELLITE PRIVATE LIMITED,399,CARE WORLD,HINDI
SHALOM COMMUNICATIONS LIMITED,400,SHALOM TELEVISION,"MALAYALAM, English and All Indian Langauges"
SHARP EYE ADVERTISING PRIVATE LIMITED,401,MAHARASHTRA 1 (Earlier SADHANA NEWS-UTTARAKHAND/HIMACHAL PRADESH),HINDI
SHARP EYE ADVERTISING PRIVATE LIMITED,402,SADHNA PLUS NEWS (Earlier SADHANA MADHYA PRADESH),HINDI
SHARP EYE ADVERTISING PRIVATE LIMITED,403,Sadhna National (R.K. NEWS/KATYAYANI),HINDI
SHARP EYE ADVERTISING PRIVATE LIMITED,404,Sadhna News Madhya Pradesh/ Chhatisgarh/ Rajasthan ( earlier SADHNA NEWS BIHAR ),HINDI
Shop CJ Network Pvt. Ltd,405,"SHOP CJ (Earlier Shop CJ alive, STAR/CJ ALIVE )",ENGLISH/ HINDI/ OTHER REGIONAL LANGUAGES
Shopping Zone India TV Pvt. Ltd,406,Nireekshana TV,Select Language
Shopping Zone India TV Pvt. Ltd,407,Shop 5,"Tamil, Telugu, Kannada, Malayalam and all Indian Scheduled languages"
Shreya Broadcasting Pvt. Ltd,408,Hindu Dharmam,TELUGU
Shreya Broadcasting Pvt. Ltd,409,TV 5 Kannada,Kannada
Shreya Broadcasting Pvt. Ltd,410,TV 5 NEWS,ENGLISH/ TELUGU
Shreyarth Aaspas Limited (earlier Aaspas Multimedia Ltd.),411,GSTV (Earier AASPAS TV),GUJARATI/ MARATHI/ HINDI/ ENGLISH/ ALL OTHER INDIAN SCHEDULE LANGUGES
SHUBH MEDIA PVT. LTD.,412,SHUBH TV,"Hindi, English, all other Indian Schedule language"
SHUBH MEDIA PVT. LTD.,413,Shubh Cinema,"Hindi, English and other scheduled indian languages"
SIGNET COMMUNICATIONS PRIVATE LIMITED,414,"AP 24x7 (earlier AP Times the News HQ, KHOJ INDIA )",ALL INDIAN LANGUAGE
SKY B (BANGLA) PRIVATE LIMITED,415,AKASH B,BENGALI
SKY NEWS MEDIA PRIVATE LIMITED,416,99 Percent (earlier CHANNEL NO.3),TELUGU
Sky Star Entertainment Private Limited,417,Skystar Movies (earlier Sky Star),"Hindi, English, All India Scheduled Languages and world Language"
Sky Star Entertainment Private Limited,418,ABZY COOL (earlier known as Skystar Bangla),"Hindi, English, All India Scheduled Languages and world Language"
Sky Star Entertainment Private Limited,419,ABZY DHAKAD (earlier known as Skystar Telugu),"Hindi, English, All India Scheduled Languages and world Language"
SNEH BROADCASTING NETWORKS PRIVATE LIMITED,420,Adhyatm (earlier ADHYATM BHAKTI),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
SOBHAGAYA MEDIA PRIVATE LIMITED,421,APN (Axis Press Network ) [Earlier known as SOBHAGYA MITHILA/ SOBHAGYA TV],HINDI/ ENGLISH/ NORTH INDIAN LANGUAGES
SOFIYA ENTERTAINMENT PRIVATE LIMITED,422,MKN,HINDI/ MARATHI
Soft Tele Network Pvt Ltd.,423,Bangla Time (earlier known as Khabar Tej),"Hindi, English, All Indian Languages"
SOFTLINE CREATION PRIVATE LIMITED,424,MR TV,HINDI
Sony Pictures Networks India Private Limited,425,TEN 4 (earlier name Le Plex HD),ENGLISH/ HINDI/ AND OTHER INDIAN LANGUAGES
Sony Pictures Networks India Private Limited,426,TEN 4 HD (earlier name Sony Rox HD),"HINDI, ENGLISH AND OTHER INDIA LANGUAGES"
Sony Pictures Networks India Private Limited,427,TEN GOLF HD (earlier TEN GOLF),HINDI AND ENGLISH (MULTILINGUAL)
SOUND TELENETWORKS PRIVATE LIMITED,428,VELICHAM PLUS (Earlier FAST 24*7),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
Spoorthi Communication Pvt. Ltd.,429,10 TV,"Telugu, English, All Indian Languages"
Squoosh Entertainment Pvt. Ltd.,430,Dream TV (Earlier Fata Fati),All Indian Languages
SRI SAI MEDIA PVT. LTD.,431,SWADESH NEWS,"HIND, ENGLISH & ALL INDIAN SCHEDULED LANGUAGE"
SRI VENKATESWARA BHAKTI CHANNEL PRIVATE LIMITED,432,SRI VENKATESWARA,TELUGU/ OTHER LANGUAGES
SRI VENKATESWARA BHAKTI CHANNEL PRIVATE LIMITED,433,SVBC-2,"TELUGU, TAMIL, KANNADA HINDI & ENGLISH"
SRM INFOTAINMENT MEDIA PVT. LTD.,434,KALKI KANNADA (EARLIER: KALVI ),ALL INDIAN LANGUAGES
SST MEDIA PRIVATE LIMITED,435,KOLKATTA TV,BANGLA
STANDARD CORPORATION INDIA LIMITED,436,A1TV (EARLIER: STANDARD WORLD ),PUNJABI/ ENGLISH / HINDI
STAR INDIA PRIVATE LIMITED,437,STAR GOLD 2 HD,ENGLISH / HINDI / BENGALI ASSAMESE / GUJARATI / MARATHI / KANNADA / NEPALI
STAR INDIA PRIVATE LIMITED,438,"STAR GOLD 2 (Earlier MOVIES OK, STAR GOLD ACTION , MOVIES OK) (STAR DIAMOND)",HINDI
STAR INDIA PRIVATE LIMITED,439,STAR SPORTS 1 MALAYALAM,ENGLISH HINDI AND ALL OTHER SCHEDULE LANGUAGES
SUB NEWS AND BROADCASTING CORPORATION LTD,440,ROSE TV,"HINDI, ENLISH AND OTHER INDIAN LANGUAGES"
SUBHARTI MEDIA LIMITED,441,SUBHARTI,HINDI
SUMMA REAL MEDIA PRIVATE LIMITED,442,NEWS 7 (PRAMEYA NEWS),ODIYA
Sunny ENTERTAINMENT HOUSE PRIVATE LIMITED,443,Naaptol Kannada (earlier Gnext Discovery),"PUNJABII,ENGLISH, ALL OTHER INDAIN LANGUAGES"
Sunny ENTERTAINMENT HOUSE PRIVATE LIMITED,444,Shri Navgrah Channel (earlier Harvest TV 24x7 cristian Channel (earlier Gnext),"PUNJABII,ENGLISH, ALL OTHER INDAIN LANGUAGES"
Surya Processed Food Pvt. Ltd,445,Surya Bhakti,ENGLISH/HINDI & All Indian Scheduled Languages
Surya Processed Food Pvt. Ltd,446,Surya Sagar Entertainment,ENGLISH/HINDI & All Indian Scheduled Languages
Surya Processed Food Pvt. Ltd,447,Surya Samachar,ENGLISH/HINDI & All Indian Scheduled Languages
T. SARKAR PVT. LTD.,448,ORANGE TV,BANGLA
TAAZA INFOTAINMENT PRIVATE LIMITED,449,TAAZA TV,HINDI
TAMILAN KALAI KOODAM PRIVATE LIMITED,450,TAMILAN TELEVISION,TAMIL
TELANGANA BROADCASTING PRIVATE LIMITED,451,T NEWS,TELUGU
TELEONE CONSUMERS PRODUCT PVT. LTD.,452,"DHANSU (EARLIER MAHA CARTOON TV, EARLIER TELESHOP)","Hindi, English and All Others Indian Languages"
TELEONE CONSUMERS PRODUCT PVT. LTD.,453,MAHA MOVIE,"Hindi, English and All Others Indian Schedule Languages"
TELEONE CONSUMERS PRODUCT PVT. LTD.,454,T TV,"Hindi, English and All Others Indian Languages"
THE MATHRUBHUMI PRINTING AND PUBLISHING COMPANY LIMITED,455,Kappa TV (earlier MATHRUBHUMI NEWS CENTRAL),MALAYALAM
THE MATHRUBHUMI PRINTING AND PUBLISHING COMPANY LIMITED,456,MATHRUBHUMI NEWS,MALAYALAM
THE MATHRUBHUMI PRINTING AND PUBLISHING COMPANY LIMITED,457,MATHRUBHUMI NEWS NORTH,MALAYALAM
THE MATHRUBHUMI PRINTING AND PUBLISHING COMPANY LIMITED,458,MATHRUBHUMI NEWS SOUTH,MALAYALAM
THE SANDESH LIMITED,459,SANDESH NEWS,Gujarati/Hindi/English dialects
TIME TODAY MEDIA NETWORK PRIVATE LIMITED,460,BHARAT SAMACHAR,"HINDI, ENGLISH & ALL OTHER INDIAN SCHEDULE LANGUAGES"
Total Telefilms Pvt. Ltd,461,News 1st ,ALL INDIAN SCHEDULED LANGUAGES
Total Telefilms Pvt. Ltd,462,TOTAL TV,HINDI
Total Telefilms Pvt. Ltd,463,Total Haryana,ALL INDIAN SCHEDULED LANGUAGES
TOURISM AND TRAVEL MEDIA ENTERTAINMENT PRIVATE LIMITED,464,Paras Gold (earlier TRAVEL TRENDZ TV ),HINDI
TRAC MEDIA PVT LTD,465,VENDHAR TV (NEWS 4U),ALL INDIAN LANGUAGES
TRANSMEDIA SOFTWARE LIMITED,466,1st India Rajasthan (earlier TRANSMEDIA NEWS),"MARATHI, GUJARATI, HINDI DIALECTS"
TRANSMEDIA SOFTWARE LIMITED,467,AAMAR CINEMA (EARLIER TRANSMEDIA GUJARAT),"MARATHI, GUJARATI, HINDI DIALECTS"
TRANSMEDIA SOFTWARE LIMITED,468,TRANSMEDIA SOHAM,"MARATHI, GUJARATI, HINDI DIALECTS"
Turmeric Vision Private Limited,469,Food Food TV,Hindi
Tulasi Broadcasting Network Ltd,470,TULASI NEWS (earlier TULASI),TELUGU
TV 18 BROADCAST LTD.,471,NEWS18 GOA,ENGLISH/HINDI AND ALL SCHEDULED INDAIN LANGUAGE
TV 18 BROADCAST LTD.,472,NEWS18 J&K,ENGLISH/HINDI AND ALL SCHEDULED INDAIN LANGUAGE
TV 18 BROADCAST LTD.,473,News18 Bharat (earlier NEWS18 PUNJAB),ENGLISH/HINDI AND ALL SCHEDULED INDAIN LANGUAGE
TV 18 BROADCAST LTD.,474,"News18 India (earlier KHABAR 18, Earlier IBN 7 & JTV Channel-7)",HINDI/ENGLISH/INDIAN LANGUAGES
TV 18 HOME SHOPPING NETWORK PVT LTD,475,HomeShop,HINDI AND ENGLISH
TV LIVE INDIA PRIVATE LIMITED,476,NEPAL 1 (EARLIER KNOWN AS TV LIVE),"HINDI, ENGLISH, BHOJPURI & NEPALI"
TV TODAY NETWORK LIMITED,477,AAJTAK DESH,"Bengali, English, Gujarati, Hindi, Kannada, Malayalam, Marathi, Oriya, Punjabi, Tamil, Telugu, Urdu"
TV VISION PVT. LTD.,478,MASTIII,HINDI
TWO STAR MEDIA PVT.LTD.,479,Sakhi TV (earlier CHANNEL 5),"PUNJABI, HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
UBJ BROADCASTING PRIVATE LIMITED,480,DHAMAAL,HINDI
UNISSION NETWORK MEDIA PVT.LTD.,481,Tirupathi,HINDI
V S BROADCASTING PVT. LT.,482,OK MUSIC (EARLIER V S ENTERTAINMENT),HINDI & ALL INDIAN SCHEDULED LANGUAGE
V S BROADCASTING PVT. LT.,483,TORAN TV (EARLIER VS TV),HINDI & ALL INDIAN SCHEDULED LANGUAGE
VAARTHA BROADCASTING LTD,484,NO.1 NEWS (EARLIER VAARTHA),TELUGU
VALUE VISION BROADCASTING PRIVATE LIMITED,485,POWER VISION,MALAYALAM/ ENGLISH/ HINDI
VARUN MEDIA PRIVATE LIMITED,486,"BFLIX MOVIES (EARLIER ROYAL TV , GOOD LIFE )",HINDI/ ENLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGES
VARUN MEDIA PRIVATE LIMITED,487,ISHWAR BHAKTI (EARLIER SUKH SAGAR),HINDI/ ENGLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGES
VASANTH AND CO MEDIA NETWORK PRIVATE LIMITED,488,VASANTH,TAMIL
VEDIC BROADCASTINGS LIMITED,489,AASTHA,HINDI
VEDIC BROADCASTINGS LIMITED,490,AASTHA BHAJAN,"HINDI , ENGLISH & ALL INDIAN LANGUAGE"
VEDIC BROADCASTINGS LIMITED,491,Aastha Kannada,"HINDI , ENGLISH & ALL INDIAN LANGUAGE"
VEDIC BROADCASTINGS LIMITED,492,Aastha Tamil,"HINDI , ENGLISH & ALL INDIAN LANGUAGE"
VEDIC BROADCASTINGS LIMITED,493,Aastha Telugu,"HINDI , ENGLISH & ALL INDIAN LANGUAGE"
VEDIC BROADCASTINGS LIMITED,494,VEDIC,HINDI/ GUJARATI/ OTHER INDIAN LANGUAGES AND ENGLISH
VEECON MEDIA AND BROADCASTING PVT LTD,495,HTN News,HINDI/ ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE
VEECON MEDIA AND BROADCASTING PVT LTD,496,KATYAYANI,HINDI/ ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE
VERTENT MEDIA SOFT PRIVATE LIMITED,497,SHAGUN (EARLIER PRABHAT NEWS UTTRAKHAND),"HINDI, ENGLISH AND ALL OTHER INDIAN SCHEDULE LANGUAGE"
VIACOM 18 MEDIA PRIVATE LIMITED,498,MTV INDIES (EARLIER COLORS INTERNATIONAL/ V.18 MOVIES),HINDI/ ENGLISH/ TAMIL/ TELUGU
VIACOM 18 MEDIA PRIVATE LIMITED,499,BDM,HINDI/ ENGLISH/ GUJRATI AND OTHER INDIAN REGIONAL
VIACOM 18 MEDIA PRIVATE LIMITED,500,Connected,HINDI/ ENGLISH/ AND OTHER INDIAN REGIONAL
VIACOM 18 MEDIA PRIVATE LIMITED,501,ECO-LUTION,HINDI/ ENGLISH/ AND OTHER INDIAN REGIONAL
VIACOM 18 MEDIA PRIVATE LIMITED,502,HAWA MAHAL,HINDI/ ENGLISH/ AND OTHER INDIAN REGIONAL
VIACOM 18 MEDIA PRIVATE LIMITED,503,IMIX,HINDI/ ENGLISH/ AND OTHER INDIAN REGIONAL
VIACOM 18 MEDIA PRIVATE LIMITED,504,MY TUBE,HINDI/ ENGLISH/ AND OTHER INDIAN REGIONAL
VIACOM 18 MEDIA PRIVATE LIMITED,505,PICK-A-TRICK,HINDI/ ENGLISH/ AND OTHER INDIAN REGIONAL
VIACOM 18 MEDIA PRIVATE LIMITED,506,STORY CITY,HINDI/ ENGLISH/ AND OTHER INDIAN REGIONAL
VIACOM 18 MEDIA PRIVATE LIMITED,507,TREBLE,HINDI/ ENGLISH/ AND OTHER INDIAN REGIONAL
VIKAAS TV ALLIANCE PVT LTD,508,NIRMANA,HINDI/ ENGLISH/ GUJRATI AND OTHER INDIAN LANGUAGE
VIKAAS TV ALLIANCE PVT LTD,509,VIKAAS TV,GUJARATI/ HINDI/ ENGLISH/ OTHER INDIAN LANGUAGES
VIL MEDIA PVT. LTD. (EARLIER NIKIT INVESTMENT PRIVATE LIMITED),510,V6,TELUGU
VINMEHTA FILMS PRIVATE LIMITED (Earlier known as PPALTECH COOLING TOWERS AND EQUIPMENTS LIMITED),511,KHABRAIN ABHI TAK(ABHI TAK),HINDI/ DIALECTS
VINTAGE STUDIO PVT LTD,512,FM NEWS (EARLIER LIVING INDIA AYUR LIVING INDIA),HINDI/ ENGLISH
VISION CORPORATION LIMITED,513,"HOUSEFULL MOVIES (EARLIER VISION TV, VISION TV MUSIC)",HINDI/ DIALECTS
VISION CORPORATION LIMITED,514,Movie Plus,Hindi
VISION CORPORATION LIMITED,515,MULTIPLEX (EARLIER VISION TV SHIKSHA),HINDI/ DIALECTS
VRL MEDIA LIMITED,516,DIGHVIJAY TV 24X 7 NEWS (EARLIER DIGHVIJAY TV),HINDI/ ENGLISH /KANNADA/ ALL INDIAN REGIONAL LANGUAGE
WIN TV PRIVATE LIMITED,517,Channel win,"HINDI,ENGLISH & ALL OTHER INDIAN SCHEDULE LANGUAGES"
WRITEMEN MEDIA PRIVATE LIMITED,518,Public Movies (earlier Public Comedy),Kannada
WRITEMEN MEDIA PRIVATE LIMITED,519,Public Music,KANNADA
WRITEMEN MEDIA PRIVATE LIMITED,520,Public TV(TOP TV /KARNATAKA NEWS 24X7),KANNADA
YASH BROADCASTING INDUSTRIES PRIVATE LIMITED,521,JANASRI,HINDI/ ENGLISH/ PUNJABI
YASH SATELLITE INDUSTRIES PRIVATE LIMITED,522,Saral Jeevan (earlier GREEN / SAMACHAR 365),HINDI/ ENGLISH/ MARATHI
YASH SATELLITE INDUSTRIES PRIVATE LIMITED,523,"Swaraj Express (Earlier NEWS TIME 24X7, JANSANDESH PLUS, FAST NEWS)",HINDI/ ENGLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGES
YASH SATELLITE INDUSTRIES PRIVATE LIMITED,524,TTC (earlier JANADESH),HINDI/ ENGLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGES
YASH SATELLITE INDUSTRIES PRIVATE LIMITED,525,YO TV (Earlier YO MUSIC),HINDI/ PUNJABI/ ENGLISH
YASH TECHNO MEDIA PVT.LTD.,526,Suddhi TV(Earlier: MAHA BODHI CHANNEL (earlier REPORTER MAHARASHTRA) ),HINDI & ENGLISH
YASH TELE NETWORK PRIVATE LIMITED,527,"Chitrapat Marathi (Earlier PEARLS NEWS-MADHYA PRADESH- CHATITISGARH , earlier PEARLS KANNADA)",HINDI/ ENGLISH/ ALL OTHER INDIAN LANGUAGES
YASH TV ENTERTAINEMENT PVT.LTD.,528,"PROTIDIN TIME (earlier KHABAR 365 DIN, REPORTER HARYANA)","HINDI, ENGLISH & ALL OTHER INDIAN SCHEDULE LANGUAGE"
YASH TV MEDIA PRIVATE LIMITED,529,Pearls Haryana Express (earlier Pearls NCR-Haryana-Rajasthan /PEARLS PUNJABI),HINDI/ ENGLISH/ ALL OTHER INDIAN SCHEDULE LANGUAGES
YELAMANCHILI TV PVT. LTD,530,YONE TV,ALL HINDI LANGUAGES
YOGI NETWORKS LTD.(EARLIER: BRINDAVAN TELEVISION NETWORK LIMITED),531,GYANA YOGI (Earlier BRINDAVAN TV),"TAMIL ENGLISH, HINDI, AND OTHER SOUTH INDIAN LANGUAGES"
YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,532,BULAND NEWS SAMACHAR PLUS (earlier LPS TV/ERA NEWS),"HINDI, ENGLISH, PUNJABI AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,533,"HNN 24x7 (earlier Hindustan News Earlier GET PUNJABI, NEWS CHAKRA)","HINDI, ENGLISH, PUNJABI AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,534,"Kalki TV (earlier Satyaveeda TV, BHOJPURIA TV ,ERA CHANNEL)","HINDI, BHOJPURI, PUNJABI, ENGLISH AND ALL OTHER INDIAN SCHEDULED LANGUAGES"
YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,535,Salvation (earlier KALASH TV /ERA MOVIES),"HINDI, ENGLISH, PUNJABI AND ALL OTHER INDIAN SCHEDULE LANGUAGES"
YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,536,Samachar Plus Rajasthan (earlier Buland News),"Hindi, English, Punjabi & all other Idian scheduled languages"
YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,537,Vaa Movies (earlier GSI / ERA SPORTS then Fight Sports),"ENGLISH, HINDI AND IN SELECTED CASES, SUBTITLED OR DUCCED IN LOCAL LANGUAGES"
Zee Entertainment Enterprises Limited,538,BIG GANGA TALKIES (Earlier BIG GAURAV),MARATHI
Zee Entertainment Enterprises Limited,539,Big Magic HD (Earlier known as Big Magic UP /BIG BONDHON),BANGLA
Zee Entertainment Enterprises Limited,540,Big Magic Punjab (Earlier known Big Magic MP /BIG FAMILY),HINDI
Zee Entertainment Enterprises Limited,541,"Big Thrill (earlier- Big RTL Thrill, Imagine Showbiz )",ENGLISH/ HINDI
ZEUS NETWORKING PRIVATE LIMITED,542,PLANET NEWS (earlier ZEUS NEWS),ALL INDIAN LANGUAGES
ZONET CABLE TV PRIVATE LIMITED,543,ZONET,ALL INDIAN SCHEDULED LANGUAGES
Zee Media Corporation Limited ,544,Ezmall.com,ALL INDIAN SCHEDULED LANGUAGES
LCGC Broadcasting (India) Private Limited,545,6TV,Telugu and other Indian Regional Languages
LCGC Broadcasting (India) Private Limited,546,6TV Telangana,Telugu and other Indian regional languages
Sahasra Television Pvt. Ltd.,547,Bhaarat Today,Telugu
BBC GLOBAL NEWS INDIA PVT. LTD. (Earlier BBC WORLD INDIA PVT LTD),548,CBeebies,ENGLISH
IN10 Media Pvt. Ltd. (earlier known as Epic Television Networks Pvt. Ltd.),549,Epic HD,"Hindi, English and all scheduled Indian languages"
IN10 Media Pvt. Ltd. (earlier known as Epic Television Networks Pvt. Ltd.),550,SHOWBOX,"Hindi, English and all scheduled Indian languages"
Pen Music Private Limited,551,ISSAQ,Hindi
Pen Music Private Limited,552,Play My Movie,Hindi
Pen Music Private Limited,553,Play My Song,Hindi
Ishwar Media Private Limited,554,Ishwar Bhajan,"Hindi, English and other Indian scheduled languages"
Mahesh Hardware & Pipes Pvt. Ltd,555,Jivan TV (with the tagline- Ke Har Modpar),"Hindi, English & all scheduled Indian languages"
Love India Entertainment Private Limited,556,Love World,"Hindi, English & all scheduled Indian languages"
Sidharth Broadcasting Pvt. Ltd,557,Sidharth TV,"ODIA, English and all other Indian scheduled languages"
AVANTI MEDIA LIMITED,558,TV 100 National,"Hindi, English and Dialects"
Dharampal Satyapal Limited,559,Utkrisht News Samachar Plus Rajasthan,"Hindi, English & all scheduled Indian languages"
Dharampal Satyapal Limited,560,Utkrisht News Samachar Plus Uttar Pradesh/Uttrakhand,"Hindi, English & all scheduled Indian languages"
Asianet Star Communications Private Limited,561,Vijay Music,"Malyalam, English, Hindi, Assamese, Bengali, Bodo, Dogri, Gujarati, Kashmiri, Konkani, Maithili, Tamil, Kannada, Manipuri, Marathi, Nepali, Sanskrit, Santhali, Sindhi, Telugu, Urdu and any other language as may be permitted under the Constitution of India"
